KO,module,LevelA,LevelB,LevelC,Module_name,Module_desc,Associated_pathway
K00886,M00001,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010 map01200 map01100]","M00001_Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",[PATH:map00010 map01200 map01100]
K08074,M00001,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010 map01200 map01100]","M00001_Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",[PATH:map00010 map01200 map01100]
K00918,M00001,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010 map01200 map01100]","M00001_Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",[PATH:map00010 map01200 map01100]
K01810,M00001,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010 map01200 map01100]","M00001_Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",[PATH:map00010 map01200 map01100]
K06859,M00001,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010 map01200 map01100]","M00001_Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",[PATH:map00010 map01200 map01100]
K13810,M00001,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010 map01200 map01100]","M00001_Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",[PATH:map00010 map01200 map01100]
K15916,M00001,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010 map01200 map01100]","M00001_Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",[PATH:map00010 map01200 map01100]
K00850,M00001,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010 map01200 map01100]","M00001_Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",[PATH:map00010 map01200 map01100]
K16370,M00001,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010 map01200 map01100]","M00001_Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",[PATH:map00010 map01200 map01100]
K21071,M00001,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010 map01200 map01100]","M00001_Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",[PATH:map00010 map01200 map01100]
K00918,M00001,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010 map01200 map01100]","M00001_Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",[PATH:map00010 map01200 map01100]
K01623,M00001,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010 map01200 map01100]","M00001_Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",[PATH:map00010 map01200 map01100]
K01624,M00001,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010 map01200 map01100]","M00001_Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",[PATH:map00010 map01200 map01100]
K11645,M00001,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010 map01200 map01100]","M00001_Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",[PATH:map00010 map01200 map01100]
K16305,M00001,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010 map01200 map01100]","M00001_Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",[PATH:map00010 map01200 map01100]
K16306,M00001,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010 map01200 map01100]","M00001_Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",[PATH:map00010 map01200 map01100]
K01803,M00001,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010 map01200 map01100]","M00001_Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",[PATH:map00010 map01200 map01100]
K00134,M00001,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010 map01200 map01100]","M00001_Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",[PATH:map00010 map01200 map01100]
K00150,M00001,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010 map01200 map01100]","M00001_Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",[PATH:map00010 map01200 map01100]
K00927,M00001,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010 map01200 map01100]","M00001_Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",[PATH:map00010 map01200 map01100]
K11389,M00001,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010 map01200 map01100]","M00001_Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",[PATH:map00010 map01200 map01100]
K01834,M00001,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010 map01200 map01100]","M00001_Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",[PATH:map00010 map01200 map01100]
K15633,M00001,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010 map01200 map01100]","M00001_Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",[PATH:map00010 map01200 map01100]
K15634,M00001,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010 map01200 map01100]","M00001_Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",[PATH:map00010 map01200 map01100]
K15635,M00001,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010 map01200 map01100]","M00001_Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",[PATH:map00010 map01200 map01100]
K01689,M00001,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010 map01200 map01100]","M00001_Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",[PATH:map00010 map01200 map01100]
K00873,M00001,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010 map01200 map01100]","M00001_Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",[PATH:map00010 map01200 map01100]
K12406,M00001,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010 map01200 map01100]","M00001_Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",[PATH:map00010 map01200 map01100]
K01803,M00002,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis, core module involving three-carbon compounds [PATH:map00010 map01200 map01230 map01100]","M00002_Glycolysis, core module involving three-carbon compounds",[PATH:map00010 map01200 map01230 map01100]
K00134,M00002,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis, core module involving three-carbon compounds [PATH:map00010 map01200 map01230 map01100]","M00002_Glycolysis, core module involving three-carbon compounds",[PATH:map00010 map01200 map01230 map01100]
K00150,M00002,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis, core module involving three-carbon compounds [PATH:map00010 map01200 map01230 map01100]","M00002_Glycolysis, core module involving three-carbon compounds",[PATH:map00010 map01200 map01230 map01100]
K00927,M00002,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis, core module involving three-carbon compounds [PATH:map00010 map01200 map01230 map01100]","M00002_Glycolysis, core module involving three-carbon compounds",[PATH:map00010 map01200 map01230 map01100]
K11389,M00002,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis, core module involving three-carbon compounds [PATH:map00010 map01200 map01230 map01100]","M00002_Glycolysis, core module involving three-carbon compounds",[PATH:map00010 map01200 map01230 map01100]
K01834,M00002,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis, core module involving three-carbon compounds [PATH:map00010 map01200 map01230 map01100]","M00002_Glycolysis, core module involving three-carbon compounds",[PATH:map00010 map01200 map01230 map01100]
K15633,M00002,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis, core module involving three-carbon compounds [PATH:map00010 map01200 map01230 map01100]","M00002_Glycolysis, core module involving three-carbon compounds",[PATH:map00010 map01200 map01230 map01100]
K15634,M00002,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis, core module involving three-carbon compounds [PATH:map00010 map01200 map01230 map01100]","M00002_Glycolysis, core module involving three-carbon compounds",[PATH:map00010 map01200 map01230 map01100]
K15635,M00002,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis, core module involving three-carbon compounds [PATH:map00010 map01200 map01230 map01100]","M00002_Glycolysis, core module involving three-carbon compounds",[PATH:map00010 map01200 map01230 map01100]
K01689,M00002,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis, core module involving three-carbon compounds [PATH:map00010 map01200 map01230 map01100]","M00002_Glycolysis, core module involving three-carbon compounds",[PATH:map00010 map01200 map01230 map01100]
K00873,M00002,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis, core module involving three-carbon compounds [PATH:map00010 map01200 map01230 map01100]","M00002_Glycolysis, core module involving three-carbon compounds",[PATH:map00010 map01200 map01230 map01100]
K12406,M00002,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Glycolysis, core module involving three-carbon compounds [PATH:map00010 map01200 map01230 map01100]","M00002_Glycolysis, core module involving three-carbon compounds",[PATH:map00010 map01200 map01230 map01100]
K01596,M00003,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010 map00020 map01100]","M00003_Gluconeogenesis, oxaloacetate => fructose-6P",[PATH:map00010 map00020 map01100]
K01610,M00003,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010 map00020 map01100]","M00003_Gluconeogenesis, oxaloacetate => fructose-6P",[PATH:map00010 map00020 map01100]
K01689,M00003,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010 map00020 map01100]","M00003_Gluconeogenesis, oxaloacetate => fructose-6P",[PATH:map00010 map00020 map01100]
K01834,M00003,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010 map00020 map01100]","M00003_Gluconeogenesis, oxaloacetate => fructose-6P",[PATH:map00010 map00020 map01100]
K15633,M00003,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010 map00020 map01100]","M00003_Gluconeogenesis, oxaloacetate => fructose-6P",[PATH:map00010 map00020 map01100]
K15634,M00003,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010 map00020 map01100]","M00003_Gluconeogenesis, oxaloacetate => fructose-6P",[PATH:map00010 map00020 map01100]
K15635,M00003,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010 map00020 map01100]","M00003_Gluconeogenesis, oxaloacetate => fructose-6P",[PATH:map00010 map00020 map01100]
K00927,M00003,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010 map00020 map01100]","M00003_Gluconeogenesis, oxaloacetate => fructose-6P",[PATH:map00010 map00020 map01100]
K00134,M00003,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010 map00020 map01100]","M00003_Gluconeogenesis, oxaloacetate => fructose-6P",[PATH:map00010 map00020 map01100]
K00150,M00003,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010 map00020 map01100]","M00003_Gluconeogenesis, oxaloacetate => fructose-6P",[PATH:map00010 map00020 map01100]
K01803,M00003,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010 map00020 map01100]","M00003_Gluconeogenesis, oxaloacetate => fructose-6P",[PATH:map00010 map00020 map01100]
K01623,M00003,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010 map00020 map01100]","M00003_Gluconeogenesis, oxaloacetate => fructose-6P",[PATH:map00010 map00020 map01100]
K01624,M00003,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010 map00020 map01100]","M00003_Gluconeogenesis, oxaloacetate => fructose-6P",[PATH:map00010 map00020 map01100]
K11645,M00003,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010 map00020 map01100]","M00003_Gluconeogenesis, oxaloacetate => fructose-6P",[PATH:map00010 map00020 map01100]
K03841,M00003,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010 map00020 map01100]","M00003_Gluconeogenesis, oxaloacetate => fructose-6P",[PATH:map00010 map00020 map01100]
K02446,M00003,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010 map00020 map01100]","M00003_Gluconeogenesis, oxaloacetate => fructose-6P",[PATH:map00010 map00020 map01100]
K11532,M00003,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010 map00020 map01100]","M00003_Gluconeogenesis, oxaloacetate => fructose-6P",[PATH:map00010 map00020 map01100]
K01086,M00003,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010 map00020 map01100]","M00003_Gluconeogenesis, oxaloacetate => fructose-6P",[PATH:map00010 map00020 map01100]
K04041,M00003,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010 map00020 map01100]","M00003_Gluconeogenesis, oxaloacetate => fructose-6P",[PATH:map00010 map00020 map01100]
K01622,M00003,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010 map00020 map01100]","M00003_Gluconeogenesis, oxaloacetate => fructose-6P",[PATH:map00010 map00020 map01100]
K13937,M00004,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,Pentose phosphate pathway (Pentose phosphate cycle) [PATH:map00030 map01200 map01100 map01120],M00004_Pentose phosphate pathway (Pentose phosphate cycle),[PATH:map00030 map01200 map01100 map01120]
K00036,M00004,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,Pentose phosphate pathway (Pentose phosphate cycle) [PATH:map00030 map01200 map01100 map01120],M00004_Pentose phosphate pathway (Pentose phosphate cycle),[PATH:map00030 map01200 map01100 map01120]
K19243,M00004,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,Pentose phosphate pathway (Pentose phosphate cycle) [PATH:map00030 map01200 map01100 map01120],M00004_Pentose phosphate pathway (Pentose phosphate cycle),[PATH:map00030 map01200 map01100 map01120]
K01057,M00004,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,Pentose phosphate pathway (Pentose phosphate cycle) [PATH:map00030 map01200 map01100 map01120],M00004_Pentose phosphate pathway (Pentose phosphate cycle),[PATH:map00030 map01200 map01100 map01120]
K07404,M00004,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,Pentose phosphate pathway (Pentose phosphate cycle) [PATH:map00030 map01200 map01100 map01120],M00004_Pentose phosphate pathway (Pentose phosphate cycle),[PATH:map00030 map01200 map01100 map01120]
K00033,M00004,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,Pentose phosphate pathway (Pentose phosphate cycle) [PATH:map00030 map01200 map01100 map01120],M00004_Pentose phosphate pathway (Pentose phosphate cycle),[PATH:map00030 map01200 map01100 map01120]
K01783,M00004,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,Pentose phosphate pathway (Pentose phosphate cycle) [PATH:map00030 map01200 map01100 map01120],M00004_Pentose phosphate pathway (Pentose phosphate cycle),[PATH:map00030 map01200 map01100 map01120]
K01807,M00004,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,Pentose phosphate pathway (Pentose phosphate cycle) [PATH:map00030 map01200 map01100 map01120],M00004_Pentose phosphate pathway (Pentose phosphate cycle),[PATH:map00030 map01200 map01100 map01120]
K01808,M00004,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,Pentose phosphate pathway (Pentose phosphate cycle) [PATH:map00030 map01200 map01100 map01120],M00004_Pentose phosphate pathway (Pentose phosphate cycle),[PATH:map00030 map01200 map01100 map01120]
K00615,M00004,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,Pentose phosphate pathway (Pentose phosphate cycle) [PATH:map00030 map01200 map01100 map01120],M00004_Pentose phosphate pathway (Pentose phosphate cycle),[PATH:map00030 map01200 map01100 map01120]
K00616,M00004,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,Pentose phosphate pathway (Pentose phosphate cycle) [PATH:map00030 map01200 map01100 map01120],M00004_Pentose phosphate pathway (Pentose phosphate cycle),[PATH:map00030 map01200 map01100 map01120]
K01810,M00004,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,Pentose phosphate pathway (Pentose phosphate cycle) [PATH:map00030 map01200 map01100 map01120],M00004_Pentose phosphate pathway (Pentose phosphate cycle),[PATH:map00030 map01200 map01100 map01120]
K06859,M00004,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,Pentose phosphate pathway (Pentose phosphate cycle) [PATH:map00030 map01200 map01100 map01120],M00004_Pentose phosphate pathway (Pentose phosphate cycle),[PATH:map00030 map01200 map01100 map01120]
K13810,M00004,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,Pentose phosphate pathway (Pentose phosphate cycle) [PATH:map00030 map01200 map01100 map01120],M00004_Pentose phosphate pathway (Pentose phosphate cycle),[PATH:map00030 map01200 map01100 map01120]
K15916,M00004,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,Pentose phosphate pathway (Pentose phosphate cycle) [PATH:map00030 map01200 map01100 map01120],M00004_Pentose phosphate pathway (Pentose phosphate cycle),[PATH:map00030 map01200 map01100 map01120]
K00948,M00005,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"PRPP biosynthesis, ribose 5P => PRPP [PATH:map00030 map00230 map01200 map01230 map01100]","M00005_PRPP biosynthesis, ribose 5P => PRPP",[PATH:map00030 map00230 map01200 map01230 map01100]
K13937,M00006,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P [PATH:map00030 map01200 map01100 map01120]","M00006_Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P",[PATH:map00030 map01200 map01100 map01120]
K00036,M00006,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P [PATH:map00030 map01200 map01100 map01120]","M00006_Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P",[PATH:map00030 map01200 map01100 map01120]
K19243,M00006,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P [PATH:map00030 map01200 map01100 map01120]","M00006_Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P",[PATH:map00030 map01200 map01100 map01120]
K01057,M00006,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P [PATH:map00030 map01200 map01100 map01120]","M00006_Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P",[PATH:map00030 map01200 map01100 map01120]
K07404,M00006,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P [PATH:map00030 map01200 map01100 map01120]","M00006_Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P",[PATH:map00030 map01200 map01100 map01120]
K00033,M00006,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P [PATH:map00030 map01200 map01100 map01120]","M00006_Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P",[PATH:map00030 map01200 map01100 map01120]
K00615,M00007,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P [PATH:map00030 map01200 map01230 map01100 map01120]","M00007_Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P",[PATH:map00030 map01200 map01230 map01100 map01120]
K00616,M00007,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P [PATH:map00030 map01200 map01230 map01100 map01120]","M00007_Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P",[PATH:map00030 map01200 map01230 map01100 map01120]
K13810,M00007,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P [PATH:map00030 map01200 map01230 map01100 map01120]","M00007_Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P",[PATH:map00030 map01200 map01230 map01100 map01120]
K01783,M00007,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P [PATH:map00030 map01200 map01230 map01100 map01120]","M00007_Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P",[PATH:map00030 map01200 map01230 map01100 map01120]
K01807,M00007,A_Pathway modules,B_Carbohydrate metabolism,C_Central carbohydrate metabolism,"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P [PATH:map00030 map01200 map01230 map01100 map01120]","M00007_Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P",[PATH:map00030 map01200 map01230 map01100 map01120]
