"","Group","LevelB","LevelC","Module","Module_group","Module_desc","Module_desc_numbers","Presence","Total","Percent"
"11","Gpac","Carbohydrate metabolism","Central carbohydrate metabolism","M00004","M00004_Gpac","M00004_Pentose phosphate pathway (Pentose phosphate cycle)","M00004 Pentose phosphate pathway (Pentose phosphate cycle) (13)  ",6,6,100
"12","Povi","Carbohydrate metabolism","Central carbohydrate metabolism","M00004","M00004_Povi","M00004_Pentose phosphate pathway (Pentose phosphate cycle)","M00004 Pentose phosphate pathway (Pentose phosphate cycle) (13)  ",6,6,100
"13","Gbar","Carbohydrate metabolism","Central carbohydrate metabolism","M00005","M00005_Gbar","M00005_PRPP biosynthesis, ribose 5P => PRPP","M00005 PRPP biosynthesis, ribose 5P => PRPP (1)  ",1,1,100
"14","Gpac","Carbohydrate metabolism","Central carbohydrate metabolism","M00005","M00005_Gpac","M00005_PRPP biosynthesis, ribose 5P => PRPP","M00005 PRPP biosynthesis, ribose 5P => PRPP (1)  ",1,1,100
"15","Povi","Carbohydrate metabolism","Central carbohydrate metabolism","M00005","M00005_Povi","M00005_PRPP biosynthesis, ribose 5P => PRPP","M00005 PRPP biosynthesis, ribose 5P => PRPP (1)  ",1,1,100
"16","Gbar","Carbohydrate metabolism","Central carbohydrate metabolism","M00006","M00006_Gbar","M00006_Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P","M00006 Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P (5)  ",2,2,100
"17","Gpac","Carbohydrate metabolism","Central carbohydrate metabolism","M00006","M00006_Gpac","M00006_Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P","M00006 Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P (5)  ",2,2,100
"18","Povi","Carbohydrate metabolism","Central carbohydrate metabolism","M00006","M00006_Povi","M00006_Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P","M00006 Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P (5)  ",2,2,100
"19","Gbar","Carbohydrate metabolism","Central carbohydrate metabolism","M00007","M00007_Gbar","M00007_Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P","M00007 Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P (6)  ",4,4,100
"20","Gpac","Carbohydrate metabolism","Central carbohydrate metabolism","M00007","M00007_Gpac","M00007_Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P","M00007 Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P (6)  ",4,4,100
"21","Povi","Carbohydrate metabolism","Central carbohydrate metabolism","M00007","M00007_Povi","M00007_Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P","M00007 Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P (6)  ",4,4,100
"22","Gbar","Carbohydrate metabolism","Central carbohydrate metabolism","M00008","M00008_Gbar","M00008_Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate","M00008 Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate (4)  ",3,4,75
"23","Gpac","Carbohydrate metabolism","Central carbohydrate metabolism","M00008","M00008_Gpac","M00008_Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate","M00008 Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate (4)  ",3,4,75
"24","Povi","Carbohydrate metabolism","Central carbohydrate metabolism","M00008","M00008_Povi","M00008_Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate","M00008 Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate (4)  ",3,4,75
"25","Gbar","Carbohydrate metabolism","Central carbohydrate metabolism","M00009","M00009_Gbar","M00009_Citrate cycle (TCA cycle, Krebs cycle)","M00009 Citrate cycle (TCA cycle, Krebs cycle) (24)  ",8,8,100
"26","Gpac","Carbohydrate metabolism","Central carbohydrate metabolism","M00009","M00009_Gpac","M00009_Citrate cycle (TCA cycle, Krebs cycle)","M00009 Citrate cycle (TCA cycle, Krebs cycle) (25)  ",8,8,100
"27","Povi","Carbohydrate metabolism","Central carbohydrate metabolism","M00009","M00009_Povi","M00009_Citrate cycle (TCA cycle, Krebs cycle)","M00009 Citrate cycle (TCA cycle, Krebs cycle) (26)  ",8,8,100
"28","Gbar","Carbohydrate metabolism","Central carbohydrate metabolism","M00010","M00010_Gbar","M00010_Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate","M00010 Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate (4)  ",3,3,100
"29","Gpac","Carbohydrate metabolism","Central carbohydrate metabolism","M00010","M00010_Gpac","M00010_Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate","M00010 Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate (4)  ",3,3,100
"30","Povi","Carbohydrate metabolism","Central carbohydrate metabolism","M00010","M00010_Povi","M00010_Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate","M00010 Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate (5)  ",3,3,100
"31","Gbar","Carbohydrate metabolism","Central carbohydrate metabolism","M00011","M00011_Gbar","M00011_Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate","M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate (20)  ",5,5,100
"32","Gpac","Carbohydrate metabolism","Central carbohydrate metabolism","M00011","M00011_Gpac","M00011_Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate","M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate (21)  ",5,5,100
"33","Povi","Carbohydrate metabolism","Central carbohydrate metabolism","M00011","M00011_Povi","M00011_Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate","M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate (21)  ",5,5,100
"34","Gbar","Carbohydrate metabolism","Other carbohydrate metabolism","M00012","M00012_Gbar","M00012_Glyoxylate cycle","M00012 Glyoxylate cycle (5)  ",5,5,100
"35","Gpac","Carbohydrate metabolism","Other carbohydrate metabolism","M00012","M00012_Gpac","M00012_Glyoxylate cycle","M00012 Glyoxylate cycle (6)  ",5,5,100
"36","Povi","Carbohydrate metabolism","Other carbohydrate metabolism","M00012","M00012_Povi","M00012_Glyoxylate cycle","M00012 Glyoxylate cycle (7)  ",5,5,100
"37","Gbar","Carbohydrate metabolism","Other carbohydrate metabolism","M00013","M00013_Gbar","M00013_Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA","M00013 Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA (2)  ",2,5,40
"38","Gpac","Carbohydrate metabolism","Other carbohydrate metabolism","M00013","M00013_Gpac","M00013_Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA","M00013 Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA (2)  ",2,5,40
"39","Povi","Carbohydrate metabolism","Other carbohydrate metabolism","M00013","M00013_Povi","M00013_Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA","M00013 Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA (2)  ",2,5,40
"40","Gbar","Carbohydrate metabolism","Other carbohydrate metabolism","M00014","M00014_Gbar","M00014_Glucuronate pathway (uronate pathway)","M00014 Glucuronate pathway (uronate pathway) (6)  ",3,7,42.8571428571429
"41","Gpac","Carbohydrate metabolism","Other carbohydrate metabolism","M00014","M00014_Gpac","M00014_Glucuronate pathway (uronate pathway)","M00014 Glucuronate pathway (uronate pathway) (6)  ",3,7,42.8571428571429
"42","Povi","Carbohydrate metabolism","Other carbohydrate metabolism","M00014","M00014_Povi","M00014_Glucuronate pathway (uronate pathway)","M00014 Glucuronate pathway (uronate pathway) (6)  ",3,7,42.8571428571429
"43","Gbar","Amino acid metabolism","Branched-chain amino acid metabolism","M00019","M00019_Gbar","M00019_Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine","M00019 Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine (1)  ",1,4,25
"44","Gpac","Amino acid metabolism","Branched-chain amino acid metabolism","M00019","M00019_Gpac","M00019_Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine","M00019 Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine (1)  ",1,4,25
"45","Povi","Amino acid metabolism","Branched-chain amino acid metabolism","M00019","M00019_Povi","M00019_Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine","M00019 Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine (1)  ",1,4,25
"46","Gbar","Amino acid metabolism","Serine and threonine metabolism","M00020","M00020_Gbar","M00020_Serine biosynthesis, glycerate-3P => serine","M00020 Serine biosynthesis, glycerate-3P => serine (1)  ",1,3,33.3333333333333
"47","Gpac","Amino acid metabolism","Serine and threonine metabolism","M00020","M00020_Gpac","M00020_Serine biosynthesis, glycerate-3P => serine","M00020 Serine biosynthesis, glycerate-3P => serine (1)  ",1,3,33.3333333333333
"48","Povi","Amino acid metabolism","Serine and threonine metabolism","M00020","M00020_Povi","M00020_Serine biosynthesis, glycerate-3P => serine","M00020 Serine biosynthesis, glycerate-3P => serine (1)  ",1,3,33.3333333333333
"49","Gbar","Amino acid metabolism","Branched-chain amino acid metabolism","M00036","M00036_Gbar","M00036_Leucine degradation, leucine => acetoacetate + acetyl-CoA","M00036 Leucine degradation, leucine => acetoacetate + acetyl-CoA (2)  ",1,6,16.6666666666667
"50","Gpac","Amino acid metabolism","Branched-chain amino acid metabolism","M00036","M00036_Gpac","M00036_Leucine degradation, leucine => acetoacetate + acetyl-CoA","M00036 Leucine degradation, leucine => acetoacetate + acetyl-CoA (2)  ",1,6,16.6666666666667
"51","Povi","Amino acid metabolism","Branched-chain amino acid metabolism","M00036","M00036_Povi","M00036_Leucine degradation, leucine => acetoacetate + acetyl-CoA","M00036 Leucine degradation, leucine => acetoacetate + acetyl-CoA (2)  ",1,6,16.6666666666667
"52","Gbar","Amino acid metabolism","Aromatic amino acid metabolism","M00038","M00038_Gbar","M00038_Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate","M00038 Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate (7)  ",5,7,71.4285714285714
"53","Gpac","Amino acid metabolism","Aromatic amino acid metabolism","M00038","M00038_Gpac","M00038_Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate","M00038 Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate (7)  ",5,7,71.4285714285714
"54","Povi","Amino acid metabolism","Aromatic amino acid metabolism","M00038","M00038_Povi","M00038_Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate","M00038 Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate (7)  ",5,7,71.4285714285714
"55","Gbar","Carbohydrate metabolism","Other carbohydrate metabolism","M00061","M00061_Gbar","M00061_D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P","M00061 D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P (6)  ",5,5,100
"56","Gpac","Carbohydrate metabolism","Other carbohydrate metabolism","M00061","M00061_Gpac","M00061_D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P","M00061 D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P (6)  ",5,5,100
"57","Povi","Carbohydrate metabolism","Other carbohydrate metabolism","M00061","M00061_Povi","M00061_D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P","M00061 D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P (6)  ",5,5,100
"58","Gbar","Glycan metabolism","Glycosaminoglycan metabolism","M00076","M00076_Gbar","M00076_Dermatan sulfate degradation","M00076 Dermatan sulfate degradation (1)  ",1,5,20
"59","Gpac","Glycan metabolism","Glycosaminoglycan metabolism","M00076","M00076_Gpac","M00076_Dermatan sulfate degradation","M00076 Dermatan sulfate degradation (1)  ",1,5,20
"60","Povi","Glycan metabolism","Glycosaminoglycan metabolism","M00076","M00076_Povi","M00076_Dermatan sulfate degradation","M00076 Dermatan sulfate degradation (1)  ",1,5,20
"61","Gbar","Glycan metabolism","Glycosaminoglycan metabolism","M00077","M00077_Gbar","M00077_Chondroitin sulfate degradation","M00077 Chondroitin sulfate degradation (1)  ",1,4,25
"62","Gpac","Glycan metabolism","Glycosaminoglycan metabolism","M00077","M00077_Gpac","M00077_Chondroitin sulfate degradation","M00077 Chondroitin sulfate degradation (1)  ",1,4,25
"63","Povi","Glycan metabolism","Glycosaminoglycan metabolism","M00077","M00077_Povi","M00077_Chondroitin sulfate degradation","M00077 Chondroitin sulfate degradation (1)  ",1,4,25
"64","Gbar","Glycan metabolism","Glycosaminoglycan metabolism","M00078","M00078_Gbar","M00078_Heparan sulfate degradation","M00078 Heparan sulfate degradation (1)  ",1,8,12.5
"65","Gpac","Glycan metabolism","Glycosaminoglycan metabolism","M00078","M00078_Gpac","M00078_Heparan sulfate degradation","M00078 Heparan sulfate degradation (1)  ",1,8,12.5
"66","Povi","Glycan metabolism","Glycosaminoglycan metabolism","M00078","M00078_Povi","M00078_Heparan sulfate degradation","M00078 Heparan sulfate degradation (1)  ",1,8,12.5
"67","Gbar","Carbohydrate metabolism","Other carbohydrate metabolism","M00081","M00081_Gbar","M00081_Pectin degradation","M00081 Pectin degradation (1)  ",1,3,33.3333333333333
"68","Gpac","Carbohydrate metabolism","Other carbohydrate metabolism","M00081","M00081_Gpac","M00081_Pectin degradation","M00081 Pectin degradation (1)  ",1,3,33.3333333333333
"69","Povi","Carbohydrate metabolism","Other carbohydrate metabolism","M00081","M00081_Povi","M00081_Pectin degradation","M00081 Pectin degradation (1)  ",1,3,33.3333333333333
"70","Gbar","Lipid metabolism","Fatty acid metabolism","M00082","M00082_Gbar","M00082_Fatty acid biosynthesis, initiation","M00082 Fatty acid biosynthesis, initiation (5)  ",1,2,50
"71","Gpac","Lipid metabolism","Fatty acid metabolism","M00082","M00082_Gpac","M00082_Fatty acid biosynthesis, initiation","M00082 Fatty acid biosynthesis, initiation (5)  ",1,2,50
"72","Povi","Lipid metabolism","Fatty acid metabolism","M00082","M00082_Povi","M00082_Fatty acid biosynthesis, initiation","M00082 Fatty acid biosynthesis, initiation (5)  ",1,2,50
"73","Gbar","Lipid metabolism","Fatty acid metabolism","M00083","M00083_Gbar","M00083_Fatty acid biosynthesis, elongation","M00083 Fatty acid biosynthesis, elongation (5)  ",1,1,100
"74","Gpac","Lipid metabolism","Fatty acid metabolism","M00083","M00083_Gpac","M00083_Fatty acid biosynthesis, elongation","M00083 Fatty acid biosynthesis, elongation (5)  ",1,1,100
"75","Povi","Lipid metabolism","Fatty acid metabolism","M00083","M00083_Povi","M00083_Fatty acid biosynthesis, elongation","M00083 Fatty acid biosynthesis, elongation (5)  ",1,1,100
"76","Gbar","Lipid metabolism","Lipid metabolism","M00088","M00088_Gbar","M00088_Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone","M00088 Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone (1)  ",1,5,20
"77","Gpac","Lipid metabolism","Lipid metabolism","M00088","M00088_Gpac","M00088_Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone","M00088 Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone (1)  ",1,5,20
"78","Povi","Lipid metabolism","Lipid metabolism","M00088","M00088_Povi","M00088_Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone","M00088 Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone (1)  ",1,5,20
"79","Gbar","Biosynthesis of terpenoids and polyketides","Terpenoid backbone biosynthesis","M00095","M00095_Gbar","M00095_C5 isoprenoid biosynthesis, mevalonate pathway","M00095 C5 isoprenoid biosynthesis, mevalonate pathway (1)  ",1,7,14.2857142857143
"80","Gpac","Biosynthesis of terpenoids and polyketides","Terpenoid backbone biosynthesis","M00095","M00095_Gpac","M00095_C5 isoprenoid biosynthesis, mevalonate pathway","M00095 C5 isoprenoid biosynthesis, mevalonate pathway (1)  ",1,7,14.2857142857143
"81","Povi","Biosynthesis of terpenoids and polyketides","Terpenoid backbone biosynthesis","M00095","M00095_Povi","M00095_C5 isoprenoid biosynthesis, mevalonate pathway","M00095 C5 isoprenoid biosynthesis, mevalonate pathway (1)  ",1,7,14.2857142857143
"82","Gbar","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00112","M00112_Gbar","M00112_Tocopherol/tocotorienol biosynthesis, homogentisate + phytyl/geranylgeranyl-PP => tocopherol/tocotorienol","M00112 Tocopherol/tocotorienol biosynthesis, homogentisate + phytyl/geranylgeranyl-PP => tocopherol/tocotorienol (1)  ",1,4,25
"83","Gpac","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00112","M00112_Gpac","M00112_Tocopherol/tocotorienol biosynthesis, homogentisate + phytyl/geranylgeranyl-PP => tocopherol/tocotorienol","M00112 Tocopherol/tocotorienol biosynthesis, homogentisate + phytyl/geranylgeranyl-PP => tocopherol/tocotorienol (1)  ",1,4,25
"84","Povi","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00112","M00112_Povi","M00112_Tocopherol/tocotorienol biosynthesis, homogentisate + phytyl/geranylgeranyl-PP => tocopherol/tocotorienol","M00112 Tocopherol/tocotorienol biosynthesis, homogentisate + phytyl/geranylgeranyl-PP => tocopherol/tocotorienol (1)  ",1,4,25
"85","Gbar","Carbohydrate metabolism","Other carbohydrate metabolism","M00114","M00114_Gbar","M00114_Ascorbate biosynthesis, plants, fructose-6P => ascorbate","M00114 Ascorbate biosynthesis, plants, fructose-6P => ascorbate (3)  ",3,8,37.5
"86","Gpac","Carbohydrate metabolism","Other carbohydrate metabolism","M00114","M00114_Gpac","M00114_Ascorbate biosynthesis, plants, fructose-6P => ascorbate","M00114 Ascorbate biosynthesis, plants, fructose-6P => ascorbate (3)  ",3,8,37.5
"87","Povi","Carbohydrate metabolism","Other carbohydrate metabolism","M00114","M00114_Povi","M00114_Ascorbate biosynthesis, plants, fructose-6P => ascorbate","M00114 Ascorbate biosynthesis, plants, fructose-6P => ascorbate (3)  ",3,8,37.5
"88","Gbar","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00115","M00115_Gbar","M00115_NAD biosynthesis, aspartate => quinolinate => NAD","M00115 NAD biosynthesis, aspartate => quinolinate => NAD (7)  ",5,5,100
"89","Gpac","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00115","M00115_Gpac","M00115_NAD biosynthesis, aspartate => quinolinate => NAD","M00115 NAD biosynthesis, aspartate => quinolinate => NAD (7)  ",5,5,100
"90","Povi","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00115","M00115_Povi","M00115_NAD biosynthesis, aspartate => quinolinate => NAD","M00115 NAD biosynthesis, aspartate => quinolinate => NAD (7)  ",5,5,100
"91","Gbar","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00116","M00116_Gbar","M00116_Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol","M00116 Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol (9)  ",9,9,100
"92","Gpac","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00116","M00116_Gpac","M00116_Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol","M00116 Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol (9)  ",9,9,100
"93","Povi","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00116","M00116_Povi","M00116_Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol","M00116 Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol (9)  ",9,9,100
"94","Gbar","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00117","M00117_Gbar","M00117_Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol","M00117 Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol (8)  ",8,9,88.8888888888889
"95","Gpac","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00117","M00117_Gpac","M00117_Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol","M00117 Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol (9)  ",8,9,88.8888888888889
"96","Povi","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00117","M00117_Povi","M00117_Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol","M00117 Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol (9)  ",8,9,88.8888888888889
"97","Gbar","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00119","M00119_Gbar","M00119_Pantothenate biosynthesis, valine/L-aspartate => pantothenate","M00119 Pantothenate biosynthesis, valine/L-aspartate => pantothenate (5)  ",5,5,100
"98","Gpac","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00119","M00119_Gpac","M00119_Pantothenate biosynthesis, valine/L-aspartate => pantothenate","M00119 Pantothenate biosynthesis, valine/L-aspartate => pantothenate (5)  ",5,5,100
"99","Povi","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00119","M00119_Povi","M00119_Pantothenate biosynthesis, valine/L-aspartate => pantothenate","M00119 Pantothenate biosynthesis, valine/L-aspartate => pantothenate (5)  ",5,5,100
"100","Gbar","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00120","M00120_Gbar","M00120_Coenzyme A biosynthesis, pantothenate => CoA","M00120 Coenzyme A biosynthesis, pantothenate => CoA (8)  ",3,3,100
"101","Gpac","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00120","M00120_Gpac","M00120_Coenzyme A biosynthesis, pantothenate => CoA","M00120 Coenzyme A biosynthesis, pantothenate => CoA (8)  ",3,3,100
"102","Povi","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00120","M00120_Povi","M00120_Coenzyme A biosynthesis, pantothenate => CoA","M00120 Coenzyme A biosynthesis, pantothenate => CoA (8)  ",3,3,100
"103","Gbar","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00121","M00121_Gbar","M00121_Heme biosynthesis, plants and bacteria, glutamate => heme","M00121 Heme biosynthesis, plants and bacteria, glutamate => heme (13)  ",10,10,100
"104","Gpac","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00121","M00121_Gpac","M00121_Heme biosynthesis, plants and bacteria, glutamate => heme","M00121 Heme biosynthesis, plants and bacteria, glutamate => heme (13)  ",10,10,100
"105","Povi","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00121","M00121_Povi","M00121_Heme biosynthesis, plants and bacteria, glutamate => heme","M00121 Heme biosynthesis, plants and bacteria, glutamate => heme (13)  ",10,10,100
"106","Gbar","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00122","M00122_Gbar","M00122_Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin","M00122 Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin (8)  ",7,7,100
"107","Gpac","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00122","M00122_Gpac","M00122_Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin","M00122 Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin (8)  ",7,7,100
"108","Povi","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00122","M00122_Povi","M00122_Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin","M00122 Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin (8)  ",7,7,100
"109","Gbar","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00123","M00123_Gbar","M00123_Biotin biosynthesis, pimeloyl-ACP/CoA => biotin","M00123 Biotin biosynthesis, pimeloyl-ACP/CoA => biotin (4)  ",3,3,100
"110","Gpac","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00123","M00123_Gpac","M00123_Biotin biosynthesis, pimeloyl-ACP/CoA => biotin","M00123 Biotin biosynthesis, pimeloyl-ACP/CoA => biotin (4)  ",3,3,100
"111","Povi","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00123","M00123_Povi","M00123_Biotin biosynthesis, pimeloyl-ACP/CoA => biotin","M00123 Biotin biosynthesis, pimeloyl-ACP/CoA => biotin (4)  ",3,3,100
"112","Gbar","Metabolism of cofactors and vitamins","Cofactor and vitamin metabolism","M00124","M00124_Gbar","M00124_Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P","M00124 Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P (5)  ",5,6,83.3333333333333
